option_type,expire_date,symbol,contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
CALLS,2022-10-21,AMZN,AMZN221021C00150000,2022-10-21 18:51:29+00:00,150.0,0.01,0.0,0.01,0.0,0.0,38.0,16415.0,1.5000025,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00150250,2022-10-19 17:48:11+00:00,150.25,0.01,0.0,0.01,0.0,0.0,20.0,1085.0,1.5000025,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00150500,2022-10-19 17:02:14+00:00,150.5,0.01,0.0,0.01,0.0,0.0,10.0,1164.0,1.5000025,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00150750,2022-10-21 14:42:14+00:00,150.75,0.01,0.0,0.01,0.0,0.0,11.0,725.0,1.5000025,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00151000,2022-10-21 18:11:07+00:00,151.0,0.01,0.0,0.01,0.0,0.0,20.0,1239.0,1.5312523437499999,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00151250,2022-10-07 16:25:35+00:00,151.25,0.02,0.0,0.01,0.0,0.0,9.0,685.0,1.5625021874999998,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00151500,2022-10-10 15:08:57+00:00,151.5,0.01,0.0,0.01,0.0,0.0,12.0,776.0,1.5625021874999998,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00151750,2022-10-10 13:31:47+00:00,151.75,0.01,0.0,0.01,0.0,0.0,1.0,705.0,1.5625021874999998,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00152000,2022-10-19 14:52:52+00:00,152.0,0.01,0.0,0.01,0.0,0.0,11.0,1931.0,1.5625021874999998,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00152250,2022-10-20 16:45:16+00:00,152.25,0.01,0.0,0.01,0.0,0.0,3.0,761.0,1.5625021874999998,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00152500,2022-10-13 18:45:19+00:00,152.5,0.01,0.0,0.01,0.0,0.0,1.0,3005.0,1.5937520312499998,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00152750,2022-10-17 17:13:00+00:00,152.75,0.01,0.0,0.01,0.0,0.0,1.0,1021.0,1.625001875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00153000,2022-10-19 14:09:25+00:00,153.0,0.01,0.0,0.01,0.0,0.0,1.0,2548.0,1.625001875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00153250,2022-10-07 19:15:13+00:00,153.25,0.02,0.0,0.01,0.0,0.0,2.0,404.0,1.625001875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00153500,2022-10-11 16:14:33+00:00,153.5,0.01,0.0,0.01,0.0,0.0,1.0,951.0,1.625001875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00153750,2022-10-12 13:35:42+00:00,153.75,0.01,0.0,0.01,0.0,0.0,1.0,1066.0,1.625001875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00154000,2022-10-18 14:12:40+00:00,154.0,0.01,0.0,0.01,0.0,0.0,270.0,1036.0,1.625001875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00154250,2022-10-11 18:12:27+00:00,154.25,0.01,0.0,0.01,0.0,0.0,10.0,653.0,1.65625171875,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00154500,2022-10-20 14:53:53+00:00,154.5,0.01,0.0,0.01,0.0,0.0,66.0,1094.0,1.6875015625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00154750,2022-10-07 16:36:04+00:00,154.75,0.01,0.0,0.01,0.0,0.0,6.0,1166.0,1.6875015625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00155000,2022-10-20 19:10:12+00:00,155.0,0.01,0.0,0.01,0.0,0.0,5.0,14293.0,1.6875015625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00155250,2022-10-07 16:35:56+00:00,155.25,0.01,0.0,0.01,0.0,0.0,22.0,1317.0,1.6875015625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00155500,2022-10-18 17:40:31+00:00,155.5,0.01,0.0,0.01,0.0,0.0,10.0,1400.0,1.6875015625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00155750,2022-10-06 19:25:01+00:00,155.75,0.02,0.0,0.01,0.0,0.0,39.0,363.0,1.6875015625,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00156000,2022-10-21 16:53:41+00:00,156.0,0.01,0.0,0.01,0.0,0.0,15.0,1002.0,1.75000125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00156250,2022-10-05 18:23:21+00:00,156.25,0.03,0.0,0.01,0.0,0.0,6.0,1240.0,1.75000125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00156500,2022-10-17 17:45:27+00:00,156.5,0.01,0.0,0.01,0.0,0.0,10.0,514.0,1.75000125,False,REGULAR,USD
CALLS,2022-10-21,AMZN,AMZN221021C00156750,2022-09-30 17:00:39+00:00,156.75,0.02,0.0,0.01,0.0,0.0,20.0,480.0,1.75000125,False,REGULAR,USD
